id,name,description,brand_id,category_id,price,load_class,application,temperature_range
501,SKF WIE-5012 (Variante B),SKF WIE-5012 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit higher Belastung und einem Temperaturbereich von -40–200°C.,1,1,346.37,high,precision,-40–200°C
502,NSK SCHWER-1520 (Variante B),NSK SCHWER-1520 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit lower Belastung und einem Temperaturbereich von -40–200°C.,5,1,277.91,low,automotive,-40–200°C
503,FAG GEHEN-9928 (Variante B),FAG GEHEN-9928 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit lower Belastung und einem Temperaturbereich von -20–120°C.,2,1,264.66,low,industrial,-20–120°C
504,NSK SECHS-1106 (Variante B),NSK SECHS-1106 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit higher Belastung und einem Temperaturbereich von 0–80°C.,5,3,377.13,high,automotive,0–80°C
505,FAG NIMMT-6514 (Variante B),FAG NIMMT-6514 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit higher Belastung und einem Temperaturbereich von 0–80°C.,2,2,444.11,high,precision,0–80°C
506,SKF GESTERN-5333 (Variante B),SKF GESTERN-5333 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit higher Belastung und einem Temperaturbereich von -20–120°C.,1,3,394.39,high,precision,-20–120°C
507,SKF RICHTIG-6925 (Variante B),SKF RICHTIG-6925 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für industriale Anwendungen mit higher Belastung und einem Temperaturbereich von -40–200°C.,1,3,386.19,high,industrial,-40–200°C
508,SKF SACHE-2307 (Variante B),SKF SACHE-2307 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit lower Belastung und einem Temperaturbereich von -40–200°C.,1,2,360.65,low,automotive,-40–200°C
509,Schaeffler WIR-6977 (Variante B),Schaeffler WIR-6977 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für automotivee Anwendungen mit mediumer Belastung und einem Temperaturbereich von -40–200°C.,3,4,298.39,medium,automotive,-40–200°C
510,Schaeffler STRASSE-3803 (Variante B),Schaeffler STRASSE-3803 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer. Ausgelegt für precisione Anwendungen mit higher Belastung und einem Temperaturbereich von -20–120°C.,3,1,286.36,high,precision,-20–120°C
