id,name,description,brand_id,category_id,price
1,SKF WIE-5012,SKF WIE-5012 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,1,1,336.28
2,NSK SCHWER-1520,NSK SCHWER-1520 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,5,1,269.82
3,FAG GEHEN-9928,FAG GEHEN-9928 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,2,1,256.95
4,NSK SECHS-1106,NSK SECHS-1106 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,5,3,366.15
5,FAG NIMMT-6514,FAG NIMMT-6514 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,2,2,431.17
6,SKF GESTERN-5333,SKF GESTERN-5333 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,1,3,382.9
7,SKF RICHTIG-6925,SKF RICHTIG-6925 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,1,3,374.94
8,SKF SACHE-2307,SKF SACHE-2307 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,1,2,350.15
9,Schaeffler WIR-6977,Schaeffler WIR-6977 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,3,4,289.7
10,Schaeffler STRASSE-3803,Schaeffler STRASSE-3803 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,3,1,278.02
11,INA LEISE-4598,INA LEISE-4598 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,4,3,445.39
12,SKF FERTIG-2084,SKF FERTIG-2084 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,1,3,186.51
13,INA SCHLECHT-8517,INA SCHLECHT-8517 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,4,4,399.26
14,NSK SCHIFF-8019,NSK SCHIFF-8019 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,5,3,338.69
15,FAG WERDEN-1771,FAG WERDEN-1771 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,2,4,50.0
16,INA GELB-8668,INA GELB-8668 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,4,1,179.3
17,SKF IHN-6573,SKF IHN-6573 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,1,3,348.18
18,INA MONAT-5315,INA MONAT-5315 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,4,1,429.68
19,SKF NUN-9317,SKF NUN-9317 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,1,3,380.33
20,Schaeffler STADT-9689,Schaeffler STADT-9689 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,3,2,247.33
21,SKF BEI-6038,SKF BEI-6038 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,1,3,396.64
22,NSK ERSCHRECKEN-8962,NSK ERSCHRECKEN-8962 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,5,1,47.69
23,INA DREHEN-7932,INA DREHEN-7932 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,4,2,126.62
24,Schaeffler FISCH-8397,Schaeffler FISCH-8397 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,3,4,405.83
25,SKF HEISSEN-4770,SKF HEISSEN-4770 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,1,3,19.26
26,SKF HEUTE-1514,SKF HEUTE-1514 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,1,1,110.73
27,FAG WERDEN-4510,FAG WERDEN-4510 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,2,3,304.35
28,NSK DREI-8749,NSK DREI-8749 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,5,4,116.92
29,SKF SCHWESTER-7735,SKF SCHWESTER-7735 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,1,4,165.89
30,INA ZEIGEN-2790,INA ZEIGEN-2790 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,4,3,362.26
31,NSK WISSEN-4006,NSK WISSEN-4006 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,5,4,71.68
32,INA ZAHL-9856,INA ZAHL-9856 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,4,1,32.26
33,FAG LERNEN-4502,FAG LERNEN-4502 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,2,4,223.68
34,INA REICH-5345,INA REICH-5345 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,4,1,443.54
35,FAG WER-1958,FAG WER-1958 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,2,2,140.55
36,Schaeffler SEHR-8811,Schaeffler SEHR-8811 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,3,1,32.06
37,SKF JUNGE-2113,SKF JUNGE-2113 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,1,2,40.15
38,SKF UNTER-1651,SKF UNTER-1651 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,1,2,264.72
39,NSK AUF-4346,NSK AUF-4346 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,5,3,421.27
40,INA LETZTE-5915,INA LETZTE-5915 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,4,2,305.54
41,INA SEIT-4492,INA SEIT-4492 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,4,1,42.23
42,SKF RUFEN-3584,SKF RUFEN-3584 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,1,2,172.59
43,NSK BEIDE-2697,NSK BEIDE-2697 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,5,3,419.97
44,NSK FREUND-4450,NSK FREUND-4450 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,5,2,129.83
45,NSK GING-1832,NSK GING-1832 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,5,4,120.49
46,SKF REICH-5291,SKF REICH-5291 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,1,3,349.29
47,SKF FERTIG-3442,SKF FERTIG-3442 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,1,1,43.11
48,NSK ACHT-1685,NSK ACHT-1685 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,5,2,199.11
49,FAG BEKOMMEN-6794,FAG BEKOMMEN-6794 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,2,2,303.45
50,FAG MAMA-3900,FAG MAMA-3900 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,2,2,439.53
51,Schaeffler HIMMEL-5065,Schaeffler HIMMEL-5065 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,3,4,362.98
52,INA LAUFEN-4644,INA LAUFEN-4644 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,4,1,387.78
53,FAG ERKLÄREN-4164,FAG ERKLÄREN-4164 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,2,2,20.41
54,Schaeffler TÜR-7548,Schaeffler TÜR-7548 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,3,3,292.25
55,Schaeffler WEIT-5349,Schaeffler WEIT-5349 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,3,2,265.46
56,INA LASSEN-6139,INA LASSEN-6139 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,4,3,330.56
57,NSK HAT-8144,NSK HAT-8144 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,5,2,122.08
58,INA AUTO-6409,INA AUTO-6409 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,4,1,427.5
59,NSK SONNTAG-6344,NSK SONNTAG-6344 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,5,3,303.43
60,INA KOMMEN-3851,INA KOMMEN-3851 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,4,4,308.02
61,SKF ZEHN-8043,SKF ZEHN-8043 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,1,3,136.24
62,INA VERSUCHEN-3780,INA VERSUCHEN-3780 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,4,2,234.92
63,NSK IST-4848,NSK IST-4848 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,5,3,51.09
64,FAG GELB-8784,FAG GELB-8784 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,2,1,30.33
65,INA BLUME-7291,INA BLUME-7291 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,4,2,326.07
66,SKF IHR-4585,SKF IHR-4585 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,1,1,352.5
67,NSK BEISPIEL-2988,NSK BEISPIEL-2988 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,5,2,413.69
68,NSK WAHR-8251,NSK WAHR-8251 ist ein hochwertiges Produkt für den Einsatz in Produktionslinien. Ausgelegt für hohe Belastungen und lange Lebensdauer.,5,3,428.02
69,INA IHM-8777,INA IHM-8777 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,4,2,337.21
70,NSK NEU-5499,NSK NEU-5499 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,5,4,285.77
71,FAG TUN-9849,FAG TUN-9849 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,2,3,157.77
72,FAG SIND-4505,FAG SIND-4505 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,2,4,315.34
73,NSK WAR-4388,NSK WAR-4388 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,5,4,192.94
74,NSK NEUN-6763,NSK NEUN-6763 ist ein hochwertiges Produkt für den Einsatz in Fahrzeugen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,5,4,219.87
75,INA BEISSEN-8956,INA BEISSEN-8956 ist ein hochwertiges Produkt für den Einsatz in Industrieanlagen. Ausgelegt für hohe Belastungen und lange Lebensdauer.,4,2,130.09
